Account,User,JobID,Start,End,AllocCPUS,Elapsed,AllocTRES,CPUTime,AveRSS,MaxRSS MaxR,SSTask M,axRSSNode,,NodeList E,xitCode,State,,Group,Jobs
pughlab,lrichard,2386479,2021-05-24T12:34:03,2021-05-24T12:34:03,15,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 20641,,,
pughlab,lrichard,2388289,2021-05-24T12:59:46,2021-05-24T20:31:49,25,7:32:03,"billing=125,cpu=25,mem=500G,n+",7-20:21:15,,,,,,node96,1:00,FAILED,,,
pughlab,jdiazmej,2384313,2021-05-24T20:32:37,2021-05-28T08:37:48,10,3-12:05:11,"billing=150,cpu=10,mem=600G,n+",35-00:51:5,0,,,,,node96,0:00,COMPLETED,,,
pughlab,hshirley,2390553,2021-05-24T21:11:44,2021-05-24T21:11:44,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,hshirley,2390555,2021-05-24T21:29:24,2021-05-24T21:29:24,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,hshirley,2390561,2021-05-24T21:30:32,2021-05-24T21:30:33,1,0:00:01,"billing=50,cpu=1,mem=200G,nod+",0:00:01,,,,,,node96,0:00,CANCELLED by 25120,,,
pughlab,hshirley,2390562,2021-05-24T21:33:32,2021-05-24T21:47:45,1,0:14:13,"billing=50,cpu=1,mem=200G,nod+",0:14:13,,,,,,node96,1:00,FAILED,,,
pughlab,hshirley,2390564,2021-05-24T21:51:34,2021-05-24T23:11:49,1,1:20:15,"billing=50,cpu=1,mem=200G,nod+",1:20:15,,,,,,node96,0:00,TIMEOUT,,,
pughlab,pluo,2390571,2021-05-24T23:15:37,2021-05-25T23:15:51,3,1-00:00:14,"billing=50,cpu=3,mem=200G,nod+",3-00:00:42,,,,,,node96,0:00,TIMEOUT,,,
pughlab,hshirley,2390573,2021-05-25T12:14:58,2021-05-25T12:14:58,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,lrichard,2392318,2021-05-25T12:58:21,2021-05-25T12:58:21,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 20641,,,
pughlab,hshirley,2392839,2021-05-25T23:02:15,2021-05-25T23:02:15,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,kuichen,2392827,2021-05-25T23:04:13,2021-05-25T23:04:13,12,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,kuichen,2392848,2021-05-25T23:05:57,2021-05-25T23:05:57,12,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,pluo,2392904,2021-05-26T00:14:39,2021-05-26T00:14:39,3,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 26528,,,
pughlab,kuichen,2392849,2021-05-26T00:42:22,2021-05-26T00:42:22,12,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,kuichen,2392910,2021-05-26T09:19:44,2021-05-26T09:19:44,8,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 14111,,,
pughlab,hshirley,2393343,2021-05-26T10:28:16,2021-05-26T10:28:16,1,0:00:00,,0:00:00,,,,,None,assigned,0:00,CANCELLED by 25120,,,
pughlab,lrichard,2388290,2021-05-26T11:24:14,2021-05-26T22:42:09,25,11:17:55,"billing=125,cpu=25,mem=500G,n+",11-18:27:5,5,,,,,node96,1:00,FAILED,,,
pughlab,kuichen,2393552,2021-05-26T11:24:41,2021-05-26T11:31:58,8,0:07:17,"billing=62,cpu=8,mem=250G,nod+",0:58:16,,,,,,node96,1:00,FAILED,,,
bhklab,quever,2393713,2021-05-26T12:36:41,2021-05-26T22:00:42,8,9:24:01,"billing=20,cpu=8,mem=80G,node+",3-03:12:08,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2393714,2021-05-26T12:36:41,2021-05-26T22:01:31,8,9:24:50,"billing=20,cpu=8,mem=80G,node+",3-03:18:40,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2393715,2021-05-26T12:36:41,2021-05-26T22:02:34,8,9:25:53,"billing=20,cpu=8,mem=80G,node+",3-03:27:04,,,,,,node96,0:00,COMPLETED,,,
bhklab,quever,2393716,2021-05-26T22:00:42,2021-05-27T07:26:35,8,9:25:53,"billing=20,cpu=8,mem=80G,node+",3-03:27:04,,,,,,node96,1:00,FAILED,,,
bhklab,quever,2393717,2021-05-26T22:03:42,2021-05-27T08:02:12,8,9:58:30,"billing=20,cpu=8,mem=80G,node+",3-07:48:00,,,,,,node96,1:00,FAILED,,,
bhklab,quever,2393718,2021-05-26T22:03:42,2021-05-27T07:28:27,8,9:24:45,"billing=20,cpu=8,mem=80G,node+",3-03:18:00,,,,,,node96,1:00,FAILED,,,
pughlab,lrichard,2388291,2021-05-26T22:42:38,2021-05-27T03:52:13,25,5:09:35,"billing=125,cpu=25,mem=500G,n+",5-08:59:35,,,,,,node96,1:00,FAILED,,,
